session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access,attack_detected
gAAAAABnx5equj3G0R2laNcVMmZJENVe8d9Z0ibjRaxKjTlrqbY_3h9Uz8xCOm7CARME8RQzDxsLvIn7u8MIP9A7B7fYyIAZsg==,599,TCP,4,492.9832634426563,DES,0.606818080396889,1,Edge,0,1
gAAAAABnx5eqtAAfEA5TAeHGPXu8EcxwOU9hme-UNGSKV6SAGX6-g6aPo_j3_-7F1ACCkf_zGZ-OGQ3XqjNCt4WQSwSAyb137Q==,472,TCP,3,1557.9964611204384,DES,0.3015689675960893,0,Firefox,0,0
gAAAAABnx5eqFGx1VKD7pknXGHfNTcUV2THA8RKR5kaVMrYCsiuW41IALu-y4v0CqACX2LFxrdbrJx-wGQPqbMgom8YgTH1ZSQ==,629,TCP,3,75.04426166420741,DES,0.7391643279163831,2,Chrome,0,1
gAAAAABnx5eq20NpJrzEOBSpbqCvwoLIoaKxdfie9hJXmBwCP_x7C8ich97ekvoVHJMMGWdGuQAATlj5-CSCX5PYpFuI9a0jFQ==,804,UDP,4,601.2488351708328,DES,0.1232671757524846,0,Unknown,0,1
gAAAAABnx5eq3UFcVZfn6LO0OYRsQIQEkKgk379U3OIhdAuBmNQWVRrZSXm1Nk2Mi0xq00tbXotENMholIeY1i3Ow3Ri1WB9LA==,453,TCP,5,532.5408884201419,AES,0.0548738567431703,1,Firefox,0,0
gAAAAABnx5eq2aZMJcYukFRjqyQ_58_7BHUkJ8CMGDFa5naCZ1wH_rxwfBSZIPuFd-4yS_0ZL6Xu-ucT1w8DhfbAzfj_BqxVGw==,453,UDP,5,380.4715502453134,AES,0.4224858607066699,2,Chrome,1,0
gAAAAABnx5eqQV3z-CVCCqse6P3K-7mg2IUJ0-ABRA12NB4bdTALLcxGtGPSLudokfXHGBhR2Dsosj0m7zrgD0P1Hkn_QdzK5g==,815,ICMP,4,728.1071646972356,AES,0.4137719285892984,1,Chrome,0,1
gAAAAABnx5eqyvljH6RWpxQS8s2xf72b2rq7WQboIYLmR9u5P1aXPC7PES8zxDxwOvsrHJf1gCqhd30lLi7jHKEzo6z3yj2ivw==,653,TCP,3,12.5999060098958,DES,0.0977193658576949,3,Chrome,1,1
gAAAAABnx5equwTKaZbNPk2fkda3keJBWoO75xLQVkkNsAQUjC7Lp1XBOMAK_0SwtMLJiin329feCajPMjBvPDQjZokK0qMhiA==,406,TCP,2,542.5588952208974,,0.2945796876500889,0,Chrome,1,0
gAAAAABnx5eqkWtduYe_53XWMEBfGYWsgvyE8-JZjNAg0Dk_wb6kUfryIWx56aeSRwojCyJ1P49fI0b33R7J8fBGXnomqyPR1w==,608,UDP,6,531.9441066211396,,0.4241165641663546,1,Chrome,0,0
